Establishment,Address,City,Zip,County,InspectionType,InspectionDate,Violations
R Bakery,701 N Broad Street,Middletown,19709,New Castle County,Routine,03/21/2025,"2-101.11,
2-103.11,
3-602.11,
3-305.11,
4-302.14"
A & R Bakery,701 N Broad Street,Middletown,19709,New Castle County,Routine,06/07/2024,3-602.11
A Ya So Nice,165 S dupont Hwy,New Castle,19720,New Castle County,Followup,03/11/2025,None
A Ya So Nice,165 S dupont Hwy,New Castle,19720,New Castle County,Routine,02/25/2025,"5-202.12,
5-205.11,
7-202.12,
3-501.13,
6-501.111"
A Ya So Nice,165 S dupont Hwy,New Castle,19720,New Castle County,Followup,08/06/2024,None
A Ya So Nice,165 S dupont Hwy,New Castle,19720,New Castle County,Routine,07/23/2024,"5-205.11,
7.202.11,
6-501.111"
A Ya So Nice Authentic Jamaican Food,165 S Dupont Hwy,New Castle,19720,New Castle County,Routine,06/09/2025,"3-501.17,
6-202.15,
4-601.11"
A-1 Deli Groceries Pizza & Fried Chicken,215 W 4th St,Wilmington,19801,New Castle County,Routine,02/26/2025,"5-202.12,
6-301.12,
4-602.12,
5-501.17,
6-202.14,
6-303.11"
AAA Deli Inc,316 Fulton Street,Dover,19904,Kent,Routine,07/10/2025,"2-201.11,
4-602.12,
3-305.11,
4-501.11,
4-601.11"
AAA Deli Inc,316 Fulton Street,Dover,19904,Kent,Routine,01/14/2025,"2-201.11,
5-205.11,
6-301.11,
3-302.11,
4-602.12,
3-501.17,
3-302.12,
4-101.19,
4-501.11,
4-601.11"
AAA Deli Inc,316 Fulton Street,Dover,19904,Kent,Routine,07/08/2024,"5-205.11,
6-301.11,
6-301.12,
3-302.11,
3-501.17,
4-101.16"
AAA Deli Inc,316 Fulton Street,Dover,19904,Kent,Followup,01/08/2024,None
AAA Deli Inc,316 Fulton Street,Dover,19904,Kent,Routine,01/02/2024,"6-301.11,
6-301.12,
6-301.14,
4-302.14,
4-601.11"
